"","plant","treatment","length","avgDiam","rootVolume","FRL","CRL","FRS","CRS","FVOL"
"24","2","PH536",7504.6778,0.33975,6.85,7476.7247,26.6254,692.3752,33.6143,7.9302
"25","2","PH537",4055.7901,0.39765,5.068,4028.7436,26.2627,429.9935,31.9901,5.583
"26","2","PH541",6633.3712,0.55065,15.923,6554.9888,77.3979,985.4151,76.597,17.0042
"27","3","Control",8219.8958,0.30325,6.009,8193.0501,25.238,684.4646,26.5626,6.6684
"28","3","PH462",4309.5602,0.5405,9.889,4259.0595,50.0929,606.1561,59.4445,9.7943
"29","3","PH480",2844.7288,0.4958,5.491,2803.2735,41.0345,360.5719,42.4825,5.93
"30","3","PH487",2942.3894,0.42,4.076,2903.3559,38.6138,310.4267,37.7211,4.2545
"31","3","PH494",2839.9483,0.5122,5.853,2824.0785,15.6455,403.4034,17.1682,6.3884
"32","3","PH504",2784.4266,0.3822,3.195,2771.2448,12.8021,287.9764,15.5354,3.5411
"33","3","PH505",3750.9152,0.3464,3.534,3729.8374,20.2449,337.6008,26.2313,3.9438
"34","3","PH518",4331.4441,0.34515,3.838,4309.4478,20.9562,385.807,26.8161,4.2039
"35","3","PH521",7508.6487,0.3936,9.132,7471.0854,36.0041,803.6702,42.3312,9.5928
"36","3","PH531",4335.1829,0.3334,3.784,4311.334,23.1141,383.1284,26.7307,4.1632
"37","3","PH536",4306.6268,0.3999,5.41,4274.2033,31.6068,457.3153,34.4939,6.1942
"38","3","PH537",3657.1927,0.3544,3.608,3615.6965,40.697,321.7385,47.0993,3.6658
"39","3","PH541",5087.5037,0.49155,9.641,5058.4992,28.4868,691.1367,39.1663,10.4084
"40","4","Control",6110.3362,0.34515,5.668,6084.557,24.7722,570.2011,32.6109,6.4365
"41","4","PH462",6034.6008,0.3621,6.213,5997.8321,35.1689,565.9543,43.2586,6.6661
"42","4","PH480",3146.6491,0.4282,4.532,3107.1181,38.1962,336.7472,41.888,4.8311
"43","4","PH487",4040.0954,0.4287,5.83,3998.8631,40.1417,442.5017,49.0062,6.0418
"44","4","PH494",3555.9572,0.5484,8.4,3507.2842,48.0726,510.0861,50.8747,8.142
"45","4","PH504",3678.266,0.3571,3.684,3657.6806,19.394,340.6859,27.647,3.8497
"46","4","PH505",4956.5839,0.34395,4.609,4915.2913,40.0633,421.7043,52.7289,4.8903
"47","4","PH518",6615.4664,0.3663,7.01,6589.919,23.9998,668.6056,27.2067,8.3878
"48","4","PH521",7509.3851,0.3915,8.769,7477.4531,30.4114,788.5803,44.6681,9.1358
"49","4","PH531",3503.1425,0.3241,2.891,3488.9073,13.626,305.3557,20.4902,3.0912
"50","4","PH536",5933.9367,0.3815,6.642,5898.6259,34.1619,607.0671,37.1242,7.6639
"51","4","PH537",6610.0975,0.3416,5.703,6592.5567,16.1079,595.8369,20.8678,6.7449
"52","4","PH541",6101.738,0.46275,10.289,6047.4842,53.2799,755.774,55.0901,11.0516
"53","5","Control",7142.8846,0.2868,4.609,7111.3794,30.3913,548.5878,33.3401,5.442
"54","5","PH462",3516.5016,0.5219,7.523,3458.6674,57.1711,459.3845,64.9012,7.6102
"55","5","PH480",3587.3287,0.509,7.3,3522.4208,64.2783,445.831,71.9757,7.2251
